01 0837 1659 0815 1742 0725 1829 0621 1916 0524 2000 0446 2039 0446 2050 0519 2022 0602 1926 0644 1823 0732 1724 0816 1651
02 0837 1700 0813 1743 0723 1830 0619 1917 0522 2001 0445 2040 0447 2050 0520 2020 0603 1923 0646 1820 0733 1722 0817 1650
03 0837 1701 0812 1745 0721 1832 0617 1919 0521 2003 0445 2041 0447 2050 0522 2019 0605 1921 0647 1818 0735 1721 0819 1650
04 0837 1702 0811 1747 0719 1833 0615 1920 0519 2004 0444 2042 0448 2049 0523 2017 0606 1919 0649 1816 0736 1719 0820 1650
05 0837 1703 0809 1748 0717 1835 0613 1922 0517 2006 0444 2043 0449 2049 0524 2015 0608 1917 0650 1814 0738 1718 0821 1649
06 0836 1704 0808 1750 0715 1837 0611 1923 0516 2007 0443 2043 0450 2048 0526 2014 0609 1915 0652 1812 0739 1716 0822 1649
07 0836 1705 0806 1752 0713 1838 0609 1925 0514 2008 0443 2044 0451 2048 0527 2012 0610 1913 0653 1810 0741 1715 0823 1649
08 0836 1706 0805 1753 0711 1840 0607 1926 0513 2010 0443 2045 0451 2047 0528 2011 0612 1911 0655 1808 0743 1713 0824 1649
09 0836 1708 0803 1755 0709 1841 0605 1928 0511 2011 0442 2046 0452 2047 0530 2009 0613 1909 0656 1806 0744 1712 0825 1648
10 0835 1709 0801 1756 0707 1843 0603 1929 0510 2013 0442 2046 0453 2046 0531 2007 0615 1907 0658 1804 0746 1710 0826 1648
11 0835 1710 0800 1758 0705 1844 0601 1931 0508 2014 0442 2047 0454 2045 0532 2006 0616 1905 0659 1802 0747 1709 0827 1648
12 0834 1711 0758 1800 0703 1846 0559 1932 0507 2015 0441 2047 0455 2044 0534 2004 0617 1903 0701 1800 0749 1708 0828 1648
13 0834 1713 0757 1801 0701 1847 0557 1933 0506 2017 0441 2048 0456 2044 0535 2002 0619 1901 0702 1758 0750 1707 0829 1648
14 0833 1714 0755 1803 0659 1849 0555 1935 0504 2018 0441 2049 0457 2043 0537 2000 0620 1858 0704 1756 0752 1705 0830 1649
15 0832 1716 0753 1805 0657 1850 0553 1936 0503 2019 0441 2049 0458 2042 0538 1958 0622 1856 0705 1754 0753 1704 0831 1649
16 0832 1717 0751 1806 0655 1852 0551 1938 0502 2021 0441 2049 0459 2041 0539 1957 0623 1854 0707 1752 0755 1703 0831 1649
17 0831 1718 0750 1808 0653 1853 0549 1939 0500 2022 0441 2050 0500 2040 0541 1955 0624 1852 0708 1750 0757 1702 0832 1649
18 0830 1720 0748 1810 0651 1855 0547 1941 0459 2023 0441 2050 0501 2039 0542 1953 0626 1850 0710 1748 0758 1701 0833 1650
19 0829 1721 0746 1811 0649 1856 0545 1942 0458 2025 0441 2050 0503 2038 0544 1951 0627 1848 0711 1747 0800 1700 0833 1650
20 0828 1723 0744 1813 0647 1858 0544 1944 0457 2026 0442 2051 0504 2037 0545 1949 0629 1846 0713 1745 0801 1659 0834 1651
21 0827 1724 0743 1814 0644 1859 0542 1945 0456 2027 0442 2051 0505 2036 0546 1947 0630 1844 0714 1743 0802 1658 0835 1651
22 0826 1726 0741 1816 0642 1901 0540 1947 0455 2028 0442 2051 0506 2035 0548 1945 0631 1841 0716 1741 0804 1657 0835 1652
23 0825 1727 0739 1818 0640 1902 0538 1948 0454 2029 0442 2051 0507 2034 0549 1943 0633 1839 0717 1739 0805 1656 0835 1652
24 0824 1729 0737 1819 0638 1904 0536 1950 0453 2031 0443 2051 0509 2032 0551 1942 0634 1837 0719 1737 0807 1655 0836 1653
25 0823 1730 0735 1821 0636 1905 0534 1951 0452 2032 0443 2051 0510 2031 0552 1940 0636 1835 0720 1736 0808 1654 0836 1653
26 0822 1732 0733 1822 0634 1907 0533 1953 0451 2033 0443 2051 0511 2030 0554 1938 0637 1833 0722 1734 0810 1654 0836 1654
27 0821 1734 0731 1824 0632 1908 0531 1954 0450 2034 0444 2051 0512 2029 0555 1936 0639 1831 0724 1732 0811 1653 0837 1655
28 0820 1735 0729 1826 0630 1910 0529 1956 0449 2035 0444 2051 0514 2027 0556 1934 0640 1829 0725 1730 0812 1652 0837 1656
29 0819 1737 0727 1827 0628 1911 0527 1957 0448 2036 0445 2051 0515 2026 0558 1932 0642 1827 0727 1729 0814 1652 0837 1657
30 0817 1738 0000 0626 1913 0526 1958 0447 2037 0446 2051 0516 2024 0559 1930 0643 1825 0728 1727 0815 1651 0837 1657 0000
31 0816 1740 0000 0624 1914 0000 0447 2038 0000 0518 2023 0601 1928 0000 0730 1725 0000 0837 1658 0000 0000 0000 0000 0000
